"cid","age","job","marital","education","default","balance","housing","loan"
"C09056",57,"management","married","2","no",4046,"no","yes"
"C09058",41,"admin.","single","2","no",2790,"yes","no"
"C09061",42,"services","married","2","no",1007,"no","no"
"C09062",45,"blue-collar","married","","no",419,"no","no"
"C09063",37,"self-employed","married","3","no",144,"yes","no"
"C09064",57,"blue-collar","married","1","no",60,"no","no"
"C09066",39,"technician","single","2","no",681,"yes","no"
"C09068",39,"blue-collar","married","1","no",3503,"no","no"
"C09069",50,"management","married","3","no",15442,"no","no"
"C09075",59,"blue-collar","married","1","no",3587,"no","yes"
"C09081",37,"admin.","married","2","no",641,"yes","no"
"C09096",42,"unemployed","married","2","no",202,"no","no"
"C09103",59,"blue-collar","married","","no",139,"no","no"
"C09107",47,"management","married","3","no",0,"no","no"
"C09108",27,"management","single","3","no",703,"yes","no"
"C09114",60,"retired","married","2","no",4820,"no","no"
"C09118",270,"entrepreneur","married","3","no",11464,"no","no"
"C09121",42,"admin.","single","2","no",2758,"yes","no"
"C09124",38,"services","divorced","2","no",61,"no","no"
"C09126",46,"blue-collar","married","2","no",0,"yes","no"
"C09128",56,"management","married","1","no",7747,"no","no"
"C09130",39,"admin.","single","2","no",0,"yes","no"
"C09132",45,"blue-collar","married","1","no",1227,"no","no"
"C09133",32,"blue-collar","single","2","no",226,"yes","no"
"C09137",37,"management","divorced","3","no",168,"yes","no"
"C09141",49,"management","married","3","no",414,"yes","no"
"C09145",56,"housemaid","divorced","1","yes",1238,"no","no"
"C09146",41,"housemaid","married","2","no",879,"no","no"
"C09147",37,"blue-collar","married","2","no",196,"yes","no"
"C09148",29,"blue-collar","married","2","no",185,"yes","yes"
"C09151",30,"entrepreneur","single","3","no",734,"yes","no"
"C09153",38,"admin.","married","2","no",4458,"yes","no"
"C09155",37,"entrepreneur","married","2","no",351,"yes","no"
"C09156",39,"services","married","2","no",0,"yes","no"
"C09163",38,"self-employed","married","","no",10855,"no","no"
"C09167",36,"","single","","no",1070,"no","no"
"C09169",38,"services","single","3","no",1222,"yes","no"
"C09175",45,"blue-collar","single","2","no",143,"no","no"
"C09177",29,"services","married","1","no",549,"yes","no"
"C09181",48,"services","single","2","no",220,"no","no"
"C09184",36,"admin.","single","","no",1815,"no","no"
"C09190",41,"blue-collar","married","2","no",1459,"no","no"
"C09191",48,"entrepreneur","divorced","3","no",275,"no","yes"
"C09192",59,"housemaid","married","1","no",500,"no","no"
"C09194",36,"self-employed","married","2","no",4579,"yes","no"
"C09198",40,"management","single","2","no",269,"no","no"
"C09199",50,"housemaid","married","2","no",34,"yes","no"
"C09201",52,"management","married","3","no",1111,"no","no"
"C09203",55,"retired","married","3","no",2996,"no","no"
"C09208",53,"management","married","3","no",652,"no","no"
"C09209",52,"services","married","2","no",91,"yes","no"
"C09210",38,"admin.","single","2","no",3239,"no","no"
"C09211",44,"technician","married","2","no",358,"no","no"
"C09215",48,"management","married","3","no",1733,"no","no"
"C09217",59,"management","married","1","no",2269,"no","yes"
"C09222",43,"management","divorced","2","no",130,"yes","no"
"C09232",33,"management","married","3","no",113,"yes","no"
"C09233",36,"blue-collar","divorced","2","no",-11,"no","no"
"C09234",39,"blue-collar","single","","no",3583,"no","no"
"C09235",55,"unemployed","married","3","no",457,"yes","no"
"C09240",39,"blue-collar","married","1","no",12848,"yes","no"
"C09244",38,"blue-collar","single","2","no",68,"no","no"
"C09245",42,"blue-collar","married","2","no",698,"no","no"
"C09247",30,"services","married","2","no",311,"yes","yes"
"C09248",53,"entrepreneur","married","1","no",943,"yes","yes"
"C09253",39,"technician","single","2","no",1820,"no","no"
"C09259",53,"technician","divorced","2","no",12,"no","no"
"C09262",37,"self-employed","single","3","no",281,"yes","no"
"C09265",41,"management","married","3","no",1304,"yes","no"
"C09271",42,"technician","married","3","no",1189,"no","no"
"C09272",40,"unemployed","married","2","no",3924,"no","no"
"C09278",40,"blue-collar","married","1","no",1613,"yes","no"
"C09279",36,"management","married","3","no",-661,"yes","yes"
"C09282",58,"admin.","married","1","no",549,"no","no"
"C09283",38,"student","single","3","no",1523,"yes","no"
"C09285",44,"technician","married","2","no",363,"no","yes"
"C09290",47,"blue-collar","married","","no",3460,"yes","no"
"C09305",53,"blue-collar","married","1","no",0,"yes","no"
"C09311",41,"blue-collar","married","1","no",2770,"yes","yes"
"C09312",42,"blue-collar","married","2","no",-355,"yes","yes"
"C09315",47,"unemployed","married","1","no",122,"no","yes"
"C09316",39,"self-employed","divorced","2","yes",-103,"no","yes"
"C09319",39,"services","single","2","no",609,"no","no"
"C09320",35,"housemaid","single","2","no",1015,"yes","no"
"C09321",58,"technician","married","1","yes",-247,"no","no"
"C09322",56,"management","divorced","3","no",0,"no","no"
"C09325",39,"","married","2","no",1701,"no","no"
"C09328",41,"blue-collar","single","2","no",656,"no","no"
"C09329",36,"services","married","2","no",1328,"yes","no"
"C09330",44,"management","single","2","no",13,"no","no"
"C09332",37,"services","single","2","no",2571,"no","no"
"C09334",32,"blue-collar","married","1","no",1138,"yes","yes"
"C09335",41,"services","married","2","no",-140,"no","yes"
"C09337",38,"blue-collar","married","2","no",2836,"no","no"
"C09339",39,"","single","2","no",0,"no","no"
"C09340",56,"services","married","1","no",444,"yes","no"
"C09344",25,"management","single","3","no",490,"yes","no"
"C09345",60,"retired","married","2","no",-1110,"yes","no"
"C09346",38,"blue-collar","married","2","no",0,"no","no"
"C09348",40,"services","single","2","no",546,"yes","no"
"C09349",37,"blue-collar","married","1","no",27,"no","no"
"C09352",33,"blue-collar","married","1","no",3704,"yes","no"
"C09355",44,"management","divorced","3","no",0,"no","no"
"C09357",41,"technician","married","2","no",118,"no","no"
"C09358",44,"admin.","married","2","no",248,"no","no"
"C09362",51,"self-employed","married","1","no",10,"no","no"
"C09364",36,"management","single","2","no",992,"no","no"
"C09371",46,"","married","","no",2505,"no","no"
"C09372",39,"admin.","married","2","no",441,"no","no"
"C09375",38,"blue-collar","single","2","no",1230,"yes","no"
"C09379",41,"housemaid","divorced","1","no",9059,"no","no"
"C09384",38,"blue-collar","married","2","no",926,"no","yes"
"C09387",27,"admin.","single","2","no",685,"yes","no"
"C09388",48,"blue-collar","divorced","1","no",0,"no","no"
"C09389",56,"","divorced","","no",2152,"no","no"
"C09390",37,"blue-collar","married","","no",1508,"no","yes"
"C09391",41,"blue-collar","married","2","no",901,"yes","no"
"C09393",29,"technician","single","2","no",778,"yes","no"
"C09400",41,"blue-collar","divorced","2","no",1491,"yes","no"
"C09402",60,"technician","married","3","no",0,"no","no"
"C09403",37,"services","single","2","no",148,"no","yes"
"C09408",54,"services","single","2","no",492,"no","no"
"C09412",35,"self-employed","single","1","no",45,"no","yes"
"C09420",36,"unemployed","married","2","no",1453,"no","no"
"C09423",35,"blue-collar","married","2","no",3595,"no","no"
"C09433",36,"management","single","3","no",624,"yes","no"
"C09434",59,"housemaid","divorced","1","no",3180,"no","no"
"C09436",40,"blue-collar","single","1","no",1055,"no","no"
"C09437",60,"self-employed","married","2","no",0,"no","no"
"C09438",37,"self-employed","married","2","no",160,"no","no"
"C09446",40,"admin.","married","2","no",334,"yes","no"
"C09452",56,"technician","married","2","no",359,"yes","no"
"C09456",53,"blue-collar","married","2","no",0,"no","no"
"C09457",35,"","married","","no",0,"no","no"
"C09461",49,"management","single","3","no",53,"no","no"
"C09463",42,"management","married","3","no",202,"no","no"
"C09464",46,"self-employed","single","2","no",2899,"no","no"
"C09465",48,"entrepreneur","married","3","no",810,"no","no"
"C09469",52,"blue-collar","married","1","no",4793,"yes","no"
"C09470",56,"unemployed","divorced","2","no",763,"no","no"
"C09471",47,"blue-collar","married","1","no",673,"yes","yes"
"C09472",52,"self-employed","married","3","no",1088,"yes","no"
"C09477",41,"blue-collar","married","1","no",1461,"yes","no"
"C09481",56,"housemaid","divorced","3","no",1059,"no","yes"
"C09482",36,"services","divorced","2","no",1594,"no","no"
"C09485",34,"housemaid","married","3","no",1265,"yes","no"
"C09486",44,"self-employed","single","3","no",97,"yes","no"
"C09488",43,"admin.","married","1","no",482,"yes","no"
"C09496",44,"blue-collar","single","2","no",259,"yes","no"
"C09499",32,"services","married","2","no",4789,"yes","yes"
"C09503",37,"entrepreneur","married","3","no",342,"yes","no"
"C09506",41,"admin.","divorced","2","no",762,"yes","no"
"C09510",36,"housemaid","single","3","no",561,"no","no"
"C09520",47,"admin.","married","2","no",1383,"yes","no"
"C09531",51,"technician","married","2","no",176,"no","no"
"C09535",45,"blue-collar","divorced","2","no",0,"no","no"
"C09542",38,"self-employed","divorced","2","no",0,"no","no"
"C09543",28,"blue-collar","single","3","no",727,"yes","no"
"C09548",50,"technician","married","2","no",3503,"yes","no"
"C09550",49,"blue-collar","married","1","no",0,"yes","no"
"C09553",51,"management","married","3","no",21574,"no","no"
"C09559",37,"self-employed","single","3","no",1549,"no","no"
"C09565",53,"management","married","","no",12001,"no","no"
"C09566",54,"housemaid","single","","no",6020,"no","no"
"C09570",51,"housemaid","married","1","no",1275,"no","no"
"C09571",49,"entrepreneur","divorced","2","no",2908,"no","no"
"C09572",49,"technician","single","2","no",-97,"yes","no"
"C09573",53,"retired","married","2","no",1300,"no","no"
"C09579",35,"management","single","3","no",68,"no","no"
"C09583",40,"admin.","married","2","no",2199,"no","no"
"C09587",29,"blue-collar","married","2","no",87,"yes","no"
"C09588",35,"blue-collar","divorced","1","no",-5,"no","no"
"C09598",46,"","married","","no",2367,"no","no"
"C09599",36,"self-employed","married","3","no",16430,"yes","no"
"C09606",47,"","married","","no",0,"no","no"
"C09608",45,"admin.","divorced","2","no",246,"no","no"
"C09612",50,"blue-collar","married","2","no",289,"no","no"
"C09616",38,"blue-collar","single","2","no",-56,"yes","yes"
"C09617",48,"admin.","divorced","2","no",2662,"no","no"
"C09625",53,"retired","divorced","2","yes",-200,"no","yes"
"C09628",37,"blue-collar","married","1","no",7,"no","no"
"C09629",60,"retired","married","2","no",2586,"no","no"
"C09635",58,"retired","married","2","no",610,"yes","no"
"C09636",46,"housemaid","married","1","no",1676,"no","no"
"C09637",45,"admin.","divorced","1","no",1807,"yes","no"
"C09640",60,"retired","married","2","no",1420,"yes","yes"
"C09641",57,"","married","2","no",2,"no","no"
"C09642",45,"technician","married","2","no",4639,"no","no"
"C09644",28,"admin.","single","2","no",596,"yes","no"
"C09646",50,"","married","1","no",1502,"no","no"
"C09651",37,"services","married","2","no",1372,"yes","no"
"C09653",49,"admin.","single","2","no",4509,"no","no"
"C09654",38,"blue-collar","married","2","no",1434,"no","no"
"C09662",36,"blue-collar","married","1","no",0,"yes","no"
"C09663",37,"blue-collar","married","2","no",2870,"yes","no"
"C09665",37,"management","single","3","no",7179,"yes","no"
"C09666",27,"technician","single","3","no",535,"yes","no"
"C09667",47,"housemaid","married","1","no",389,"no","no"
"C09669",27,"blue-collar","married","2","no",379,"yes","yes"
"C09671",39,"technician","single","2","no",1963,"yes","no"
"C09676",52,"housemaid","married","1","no",0,"no","no"
"C09683",36,"technician","married","2","no",5521,"no","no"
"C09685",42,"management","divorced","3","no",0,"no","no"
"C09690",44,"self-employed","married","3","no",425,"no","no"
"C09692",55,"blue-collar","married","","no",7561,"no","no"
"C09694",40,"admin.","married","2","no",947,"no","no"
"C09695",48,"entrepreneur","married","2","no",4037,"no","no"
"C09696",42,"blue-collar","married","2","no",375,"yes","no"
"C09703",39,"blue-collar","single","2","no",1170,"no","no"
"C09705",39,"technician","single","","no",75,"no","no"
"C09706",48,"management","married","3","no",-1232,"yes","no"
"C09714",41,"technician","married","2","no",1297,"no","no"
"C09716",36,"services","divorced","2","no",115,"no","no"
"C09720",53,"retired","divorced","1","no",2997,"no","no"
"C09723",56,"technician","married","2","no",992,"no","no"
"C09724",40,"blue-collar","married","1","no",676,"no","no"
"C09727",51,"retired","married","1","no",610,"no","no"
"C09728",45,"services","married","1","no",60,"no","no"
"C09730",42,"management","married","1","no",4362,"no","no"
"C09738",44,"entrepreneur","married","3","no",31,"no","no"
"C09743",58,"housemaid","married","3","no",1280,"no","yes"
"C09744",48,"management","married","1","no",1744,"no","no"
"C09745",42,"management","married","1","no",0,"no","no"
"C09747",37,"unemployed","single","1","no",1241,"no","no"
"C09751",58,"housemaid","married","1","no",258,"no","no"
"C09752",41,"admin.","married","2","no",176,"no","no"
"C09754",35,"self-employed","married","2","no",-3,"no","no"
"C09757",34,"housemaid","married","3","no",5011,"yes","no"
"C09759",49,"management","divorced","1","no",49,"no","no"
"C09760",37,"blue-collar","single","1","no",7027,"no","no"
"C09764",46,"housemaid","divorced","2","no",154,"no","no"
"C09766",38,"services","married","2","no",1005,"yes","yes"
"C09768",37,"admin.","married","2","yes",0,"no","no"
"C09772",40,"services","married","2","no",37,"no","no"
"C09776",41,"management","married","2","no",5585,"no","no"
"C09778",39,"management","married","1","no",1873,"no","no"
"C09780",37,"blue-collar","married","1","no",178,"yes","yes"
"C09782",36,"technician","married","2","no",300,"no","no"
"C09792",47,"blue-collar","married","1","no",214,"yes","yes"
"C09794",35,"housemaid","married","2","no",14000,"no","no"
"C09795",41,"housemaid","married","1","no",884,"no","no"
"C09796",58,"retired","married","2","no",630,"no","no"
"C09798",36,"management","divorced","3","no",7821,"no","no"
"C09799",57,"housemaid","married","1","no",0,"no","no"
"C09801",47,"management","married","","no",1046,"no","no"
"C09802",38,"blue-collar","married","2","no",0,"yes","no"
"C09803",50,"housemaid","married","2","no",1484,"no","no"
"C09807",38,"management","single","2","no",53,"no","no"
"C09815",49,"services","married","2","no",3169,"no","no"
"C09816",31,"management","single","3","no",499,"yes","no"
"C09823",36,"management","married","1","no",22856,"no","no"
"C09825",45,"housemaid","married","1","no",1100,"no","no"
"C09828",59,"retired","married","2","no",1173,"no","no"
"C09829",60,"management","married","","no",2508,"no","no"
"C09831",39,"blue-collar","married","1","no",0,"no","no"
"C09834",57,"technician","divorced","2","no",164,"no","no"
"C09836",49,"blue-collar","married","1","no",902,"no","no"
"C09841",60,"housemaid","divorced","1","no",1190,"no","no"
"C09842",38,"technician","married","2","no",6975,"no","no"
"C09845",55,"technician","single","","no",776,"no","no"
"C09846",53,"management","married","1","no",2096,"no","no"
"C09849",57,"blue-collar","married","2","no",5553,"no","yes"
"C09854",36,"technician","married","2","no",26,"no","no"
"C09855",48,"services","married","2","no",533,"no","no"
"C09857",59,"blue-collar","divorced","1","no",1320,"no","no"
"C09859",36,"entrepreneur","married","","no",60,"no","no"
"C09864",42,"technician","married","2","no",0,"no","no"
"C09865",55,"management","married","1","no",229,"no","yes"
"C09866",38,"management","married","2","no",-323,"yes","no"
"C09867",49,"management","married","2","no",0,"no","no"
"C09868",37,"blue-collar","married","1","no",1021,"no","no"
"C09869",47,"blue-collar","married","2","no",-423,"no","no"
"C09876",46,"housemaid","married","1","no",75,"no","no"
"C09879",52,"management","divorced","2","no",944,"no","yes"
"C09883",45,"blue-collar","married","1","no",665,"no","no"
"C09884",42,"housemaid","divorced","2","no",314,"no","no"
"C09885",35,"admin.","married","2","no",1035,"yes","yes"
"C09890",45,"blue-collar","married","1","no",900,"yes","no"
"C09897",57,"housemaid","divorced","1","no",0,"no","no"
"C09900",40,"technician","married","3","no",2946,"no","no"
"C09903",52,"retired","married","1","no",537,"no","no"
"C09906",51,"blue-collar","married","1","no",0,"no","no"
"C09921",42,"management","single","3","no",1206,"no","no"
"C09922",38,"housemaid","divorced","1","no",359,"no","no"
"C09936",37,"blue-collar","married","1","no",4997,"no","no"
"C09938",57,"housemaid","married","1","no",3570,"no","no"
"C09941",37,"services","married","2","no",718,"no","yes"
"C09942",41,"technician","married","2","no",90,"no","no"
"C09943",49,"housemaid","married","2","no",81,"no","yes"
"C09945",50,"management","married","1","no",791,"no","no"
"C09946",48,"technician","married","2","no",5,"no","no"
"C09947",41,"services","married","1","no",510,"no","no"
"C09948",59,"management","married","2","no",1321,"no","no"
"C09952",41,"admin.","married","2","no",0,"yes","no"
"C09955",37,"technician","single","2","yes",375,"no","no"
"C09960",35,"admin.","married","2","no",-521,"no","yes"
"C09972",34,"entrepreneur","married","3","no",4343,"no","no"
"C09976",36,"services","married","2","no",136,"no","no"
"C09977",25,"blue-collar","single","1","no",116,"yes","no"
"C09979",38,"blue-collar","single","2","no",93,"no","no"
"C09985",35,"admin.","married","2","no",2897,"no","no"
"C09986",41,"entrepreneur","single","2","no",3216,"no","no"
"C09987",52,"blue-collar","married","2","no",-519,"yes","no"
"C09995",49,"technician","married","2","no",378,"no","no"
"C10001",38,"admin.","married","1","no",1487,"no","no"
"C10002",39,"blue-collar","married","2","no",138,"no","no"
"C10003",35,"services","married","2","no",-489,"yes","no"
"C10007",25,"admin.","single","2","no",66,"yes","no"
"C10008",57,"services","divorced","1","no",1367,"no","no"
"C10011",41,"management","single","3","no",1113,"yes","yes"
"C10014",32,"student","single","","no",2313,"yes","no"
"C10016",40,"technician","divorced","2","no",2394,"no","no"
"C10020",40,"admin.","divorced","2","no",90,"yes","no"
"C10022",46,"blue-collar","married","1","no",10333,"yes","no"
"C10023",45,"blue-collar","married","1","no",408,"no","no"
"C10024",35,"housemaid","single","","no",4378,"no","no"
"C10028",45,"housemaid","married","2","no",513,"no","no"
"C10039",39,"blue-collar","single","2","no",16917,"no","no"
"C10040",54,"retired","married","2","no",1851,"no","no"
"C10054",41,"admin.","single","2","no",812,"no","yes"
"C10056",37,"management","single","2","no",235,"no","no"
"C10057",55,"admin.","married","2","no",994,"no","no"
"C10058",36,"blue-collar","married","1","no",409,"yes","no"
"C10061",48,"entrepreneur","married","2","no",568,"no","no"
"C10071",39,"management","married","3","no",-190,"no","yes"
"C10072",54,"technician","married","2","no",2500,"no","no"
"C10078",53,"self-employed","married","3","no",1128,"no","no"
"C10081",27,"technician","single","","no",555,"no","no"
"C10086",45,"technician","married","2","no",3007,"no","no"
"C10088",59,"management","married","3","no",1574,"no","no"
"C10089",35,"blue-collar","married","1","no",234,"no","no"
"C10090",44,"blue-collar","married","1","no",0,"no","no"
"C10105",53,"admin.","single","2","no",-285,"no","yes"
"C10111",58,"admin.","married","1","no",2232,"no","no"
"C10118",37,"self-employed","married","2","no",883,"no","no"
"C10126",51,"housemaid","married","","no",819,"no","no"
"C10127",36,"self-employed","married","3","no",2517,"no","no"
"C10130",42,"technician","married","","no",0,"no","no"
"C10131",42,"blue-collar","married","2","no",103,"no","no"
"C10141",42,"self-employed","married","3","no",1202,"no","no"
"C10142",39,"admin.","single","2","no",35,"no","no"
"C10143",54,"management","married","3","no",69,"no","no"
"C10144",52,"blue-collar","married","1","no",1884,"no","no"
"C10146",46,"services","married","2","no",379,"no","no"
"C10150",58,"housemaid","married","2","no",4840,"no","no"
"C10152",37,"blue-collar","single","1","no",914,"no","no"
"C10153",56,"","divorced","1","no",558,"no","no"
"C10160",47,"blue-collar","married","2","no",303,"no","no"
"C10161",50,"blue-collar","married","3","no",676,"no","no"
"C10164",38,"blue-collar","married","1","no",8637,"yes","no"
"C10166",36,"management","single","3","no",0,"no","no"
"C10167",38,"services","married","2","no",433,"no","no"
"C10170",38,"blue-collar","married","2","yes",-10,"no","no"
"C10177",50,"blue-collar","married","","no",0,"no","no"
"C10178",45,"housemaid","divorced","1","no",544,"no","no"
"C10180",55,"retired","married","1","no",8894,"no","no"
"C10182",45,"technician","divorced","2","no",0,"yes","yes"
"C10183",45,"self-employed","married","1","no",750,"no","no"
"C10185",56,"blue-collar","married","2","no",0,"no","no"
"C10187",38,"admin.","married","1","no",464,"no","yes"
"C10189",25,"blue-collar","married","1","no",-83,"yes","no"
"C10195",48,"management","married","2","no",397,"no","no"
"C10198",43,"entrepreneur","married","3","no",396,"no","no"
"C10199",36,"management","married","3","no",336,"no","no"
"C10202",37,"admin.","single","2","no",1560,"yes","no"
"C10203",28,"technician","single","3","no",-803,"yes","yes"
"C10210",60,"housemaid","married","2","no",3587,"no","no"
"C10211",48,"technician","married","3","no",2369,"no","no"
"C10214",51,"retired","married","1","no",2525,"no","no"
"C10220",43,"retired","married","1","no",7298,"no","no"
"C10221",45,"","married","","no",360,"no","no"
"C10226",57,"management","married","3","no",1571,"no","no"
"C10237",49,"admin.","married","2","no",1788,"yes","no"
"C10240",57,"admin.","married","2","no",5888,"no","yes"
"C10244",45,"services","married","2","no",1306,"no","no"
"C10253",29,"admin.","single","2","no",171,"yes","no"
"C10254",37,"blue-collar","married","1","yes",-142,"no","no"
"C10259",36,"admin.","married","2","no",0,"no","no"
"C10261",55,"management","married","3","no",10957,"no","no"
"C10263",48,"admin.","married","2","no",13551,"no","no"
"C10267",40,"technician","married","2","no",240,"no","no"
"C10268",39,"blue-collar","married","","no",2952,"yes","no"
"C10269",40,"blue-collar","divorced","2","no",181,"no","no"
"C10271",47,"management","married","","no",0,"no","no"
"C10280",53,"self-employed","divorced","3","no",1841,"no","no"
"C10283",49,"","married","1","no",142,"no","no"
"C10287",46,"services","married","2","no",6913,"no","no"
"C10291",46,"blue-collar","married","1","no",642,"no","no"
"C10301",46,"management","married","2","no",0,"no","no"
"C10302",41,"services","married","2","no",4283,"yes","no"
"C10309",35,"unemployed","divorced","2","no",45,"no","no"
"C10311",53,"housemaid","divorced","2","no",292,"no","no"
"C10312",47,"services","married","2","no",440,"yes","no"
"C10313",35,"blue-collar","divorced","1","no",0,"no","no"
"C10314",36,"unemployed","married","1","no",0,"no","no"
"C10322",54,"management","married","3","no",292,"no","no"
"C10323",43,"services","married","2","no",0,"no","no"
"C10329",36,"services","single","1","no",183,"no","no"
"C10331",49,"blue-collar","married","1","no",518,"yes","no"
"C10333",57,"blue-collar","married","","no",108,"no","no"
"C10334",43,"services","married","2","no",2478,"yes","no"
"C10336",49,"management","married","3","no",-470,"yes","no"
"C10337",45,"housemaid","divorced","1","no",221,"no","no"
"C10340",57,"entrepreneur","married","","no",657,"no","no"
"C10341",58,"retired","married","1","no",657,"yes","no"
"C10342",36,"blue-collar","married","1","no",398,"yes","no"
"C10343",38,"admin.","married","2","no",545,"no","no"
"C10344",50,"","single","","no",490,"no","no"
"C10353",40,"housemaid","married","2","no",3944,"yes","no"
"C10356",60,"retired","single","2","no",1625,"no","no"
"C10362",42,"","single","2","no",1456,"no","no"
"C10366",48,"blue-collar","single","2","no",580,"yes","no"
"C10368",40,"blue-collar","married","2","no",952,"no","yes"
"C10372",43,"blue-collar","married","1","no",0,"no","no"
"C10373",55,"entrepreneur","married","1","no",214,"no","no"
"C10375",41,"blue-collar","divorced","1","no",1887,"no","no"
"C10390",54,"blue-collar","married","2","no",734,"no","yes"
"C10393",43,"blue-collar","married","2","no",664,"yes","no"
"C10394",45,"management","married","1","no",0,"no","yes"
"C10398",36,"management","married","1","no",5427,"no","no"
"C10399",47,"housemaid","divorced","1","no",1405,"no","no"
"C10404",40,"management","married","2","no",406,"yes","no"
"C10405",50,"technician","married","3","no",1347,"yes","yes"
"C10407",56,"blue-collar","married","2","no",2190,"no","yes"
"C10410",49,"management","married","2","no",4848,"no","no"
"C10411",51,"housemaid","married","1","no",3073,"no","no"
"C10413",56,"retired","married","1","no",133,"no","yes"
"C10416",44,"management","single","3","no",3355,"yes","no"
"C10418",48,"blue-collar","married","2","no",1000,"yes","no"
"C10419",37,"services","married","2","no",1627,"yes","no"
"C10422",27,"admin.","single","2","no",18188,"yes","no"
"C10432",52,"housemaid","married","1","no",310,"no","yes"
"C10436",43,"management","single","3","no",5658,"no","no"
"C10443",48,"management","divorced","3","no",503,"no","yes"
"C10445",38,"entrepreneur","married","2","no",8,"no","no"
"C10455",24,"blue-collar","single","2","yes",-203,"yes","no"
"C10456",47,"retired","divorced","1","no",2576,"no","no"
"C10458",40,"blue-collar","married","2","no",4259,"no","no"
"C10459",30,"management","single","3","no",775,"yes","no"
"C10462",35,"blue-collar","married","1","no",4924,"no","no"
"C10470",58,"retired","married","3","no",3628,"no","no"
"C10471",36,"technician","single","2","no",1521,"yes","no"
"C10472",50,"technician","married","3","no",917,"no","no"
"C10473",49,"housemaid","married","1","no",785,"no","no"
"C10475",37,"blue-collar","married","1","no",1,"yes","no"
"C10476",45,"services","married","1","no",7811,"no","no"
"C10486",39,"technician","single","2","no",175,"no","yes"
"C10492",40,"management","married","3","no",60,"no","no"
"C10498",39,"unemployed","married","3","no",11787,"no","no"
"C10501",35,"blue-collar","married","2","no",4723,"yes","no"
"C10506",51,"management","married","2","no",2216,"yes","yes"
"C10509",38,"blue-collar","married","2","no",1627,"no","no"
"C10510",36,"blue-collar","married","1","no",6085,"yes","no"
"C10517",45,"management","married","3","no",1493,"no","no"
"C10518",47,"blue-collar","divorced","1","no",7,"no","yes"
"C10519",40,"services","married","2","no",256,"yes","no"
"C10523",33,"admin.","married","2","no",372,"yes","no"
"C10525",36,"blue-collar","married","1","no",4143,"no","yes"
"C10526",44,"management","married","","no",2982,"no","no"
"C10533",30,"services","single","3","no",44,"no","no"
"C10534",57,"blue-collar","divorced","1","no",3111,"no","no"
"C10536",47,"management","divorced","","no",582,"yes","yes"
"C10538",37,"services","married","2","no",-58,"yes","no"
"C10546",51,"admin.","married","2","no",924,"yes","no"
"C10547",37,"management","married","3","no",57,"no","no"
"C10551",32,"blue-collar","married","2","no",598,"yes","no"
"C10561",39,"blue-collar","single","1","no",207,"no","yes"
"C10562",56,"retired","married","3","no",3708,"no","no"
"C10563",54,"blue-collar","married","1","no",0,"no","no"
"C10566",35,"blue-collar","single","","no",422,"no","no"
"C10571",57,"services","married","2","no",197,"no","no"
"C10578",38,"blue-collar","married","1","no",298,"no","no"
"C10581",59,"retired","married","1","no",2722,"no","no"
"C10586",49,"management","married","1","no",330,"no","no"
"C10587",40,"blue-collar","married","2","no",876,"no","no"
"C10588",38,"blue-collar","married","1","no",1602,"no","no"
"C10593",36,"unemployed","single","2","no",490,"yes","yes"
"C10594",48,"unemployed","single","3","no",3229,"no","no"
"C10598",29,"management","single","2","no",584,"yes","no"
"C10600",30,"blue-collar","married","2","no",294,"yes","yes"
"C10601",49,"retired","married","1","no",1381,"no","no"
"C10603",36,"blue-collar","single","2","no",2962,"yes","yes"
"C10605",55,"entrepreneur","divorced","3","no",461,"yes","yes"
"C10608",37,"services","married","2","no",3321,"no","no"
"C10609",50,"blue-collar","divorced","1","no",4882,"yes","no"
"C10610",46,"entrepreneur","married","2","no",757,"no","no"
"C10611",37,"management","single","3","no",400,"yes","no"
"C10621",38,"services","married","2","no",1559,"no","no"
"C10624",49,"technician","married","2","no",775,"yes","no"
"C10628",45,"technician","married","3","no",533,"yes","no"
"C10633",55,"technician","married","","no",0,"no","no"
"C10636",48,"","married","","no",3940,"no","no"
"C10637",35,"admin.","married","2","no",5270,"no","no"
"C10640",53,"blue-collar","married","1","no",4641,"no","no"
"C10645",35,"blue-collar","single","1","no",3751,"no","no"
"C10653",30,"services","married","2","no",384,"yes","no"
"C10656",39,"services","single","2","no",1336,"yes","no"
"C10657",53,"retired","married","2","no",136,"no","no"
"C10659",43,"services","divorced","","no",159,"no","no"
"C10670",50,"management","married","3","no",3191,"no","no"
"C10671",37,"admin.","single","3","no",12581,"no","no"
"C10673",36,"admin.","married","2","no",1295,"no","no"
"C10675",41,"blue-collar","married","2","no",-100,"yes","no"
"C10678",41,"entrepreneur","married","3","no",373,"no","no"
"C10679",45,"management","married","3","no",203,"no","no"
"C10680",38,"admin.","single","2","no",439,"no","no"
"C10682",53,"blue-collar","married","2","no",1093,"yes","yes"
"C10687",35,"technician","single","3","no",756,"yes","no"
"C10691",47,"blue-collar","married","2","no",4840,"no","no"
"C10692",55,"housemaid","married","1","no",3680,"no","no"
"C10694",55,"management","married","3","no",0,"no","no"
"C10701",38,"management","married","3","no",7124,"no","no"
"C10712",36,"admin.","single","2","no",16,"no","no"
"C10720",51,"blue-collar","married","1","no",5050,"no","yes"
"C10722",37,"management","married","3","no",0,"no","no"
